Genetic ID,Alternative ID,Latitude,Longitude,Genetic Sex Determination,Analysis Label,Detailed Label,Source (Library components if this study),UDG treatment (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),Data type,"Date: One of two formats: (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age, Lab number) e.g. 5983-5747 calBCE (6980±50 BP, Beta-226472) or (Format 2) Archaeological context date, e.g. 2500-1700 BCE",Location,Country,Coverage,SNPs,"mitochondrial DNA haplogroup determination (for newly reported sample, only given for individuals with >10x mtDNA coverage)"
I0861,Nat10,32.65,35.067,M,Natufian,Israel_Natufian,"This study (S0861.E1.L3,S0861.E1.L2,S0861.E1.L1,S0861.E2.L1,S0861.E2.L2,S0861.E4.L2,S0861.E4.L1)",half,1240K.capture,11840-9760 BCE,Raqefet Cave,Israel,0.107,118389,J2a2
I1407,ARE12.1,39.73,45.2,M,Armenia_ChL,Armenia_Chalcolithic,This study (S1407.E1.L1),half,1240K.capture,4350-3700 BCE,Areni1,Armenia,2.164,814272,H
I1705,AG98_1,31.988,35.976,M,Levant_BA,Jordan_EBA,This study (S1705.E1.L1),half,1240K.capture,"2198-1966 calBCE (3690±35 BP, Poz-81096)",'Ain Ghazal,Jordan,2.037,720543,H14a
I1633,KA1/14,40.65,45.1167,F,Armenia_EBA,Armenia_EBA,This study (S1633.E1.L1),half,1240K.capture,"2619-2410 calBCE (3990±35 BP, Poz-22234)",Kalavan,Armenia,3.342,859724,H1u
I1661,SG16,34.5,47.96,F,Iran_ChL,Iran_Chalcolithic,This study (S1661.E1.L1),half,1240K.capture,"4696-4491 calBCE (5740±40 BP, Poz-81104)",Seh Gabi,Iran,1.849,795427,H29
I1634,AR1/44,39.73,45.2,M,Armenia_ChL,Armenia_Chalcolithic,This study (S1634.E1.L1),half,1240K.capture,"4330-4060 calBCE (5366±31 BP, OxA-19331)",Areni1,Armenia,1.833,771623,H2a1
I1674,SG21,34.5,47.96,M,Iran_ChL,Iran_Chalcolithic,This study (S1674.E1.L1),half,1240K.capture,"3972-3800 calBCE (5105±35 BP, Poz-81108)",Seh Gabi,Iran,0.915,640114,I1c
I1945,GD16,34.45,48.116,M,Iran_N,Ganj_Dareh_Iran_Neolithic,This study (S1945.E1.L1),half,1240K.capture,8000-7700 BCE,Ganj Dareh,Iran,0.112,126090,J1c10
I1662,SG7,34.5,47.96,M,Iran_ChL,Iran_Chalcolithic,This study (S1662.E1.L1),half,1240K.capture,"4831-4612 calBCE (5860±40 BP, Poz-81105)",Seh Gabi,Iran,0.906,622642,K1a12a
I1671,SG2,34.5,47.96,M,Iran_LN,Iran_Late_Neolithic,"This study (S1671.E1.L2,S1671.E1.L1)",half,1240K.capture,"5837-5659 calBCE (6850±50 BP, OxA-33168)",Seh Gabi,Iran,0.663,532043,K1a12a
I1584,M10-111,40.3,29.56666667,F,Anatolia_ChL,Anatolia_Chalcolithic,"This study (S1584.E1.L1, S1584.E1.L3, S1584.E1.L2)",half,1240K.capture,"3943-3708 calBCE (5016±31 BP, OxA-32776)",Barcın,Turkey,0.966,597854,K1a17
I0867,Motz1,31.79,35.168,M,Levant_N,PPNB,"This study (S1629.E1.L1,S1629.E1.L2,S1629.E1.L3,S0867.E1.L3,S0867.E1.L2,S0867.E1.L1)",half,1240K.capture,7300-6750 BCE,Motza,Israel,2.087,772778,K1a4b
I1631,AR1/43C,39.73,45.2,F,Armenia_ChL,Armenia_Chalcolithic,This study (S1631.E1.L1),half,1240K.capture,"4250-4050 calBCE (5323±30 BP, OxA-19332)",Areni1,Armenia,3.202,847507,K1a8
I1632,AR1/46,39.73,45.2,M,Armenia_ChL,Armenia_Chalcolithic,This study (S1632.E1.L1),half,1240K.capture,"4230-4000 calBCE (5285±29 BP, OxA-18599) ",Areni1,Armenia,2.963,835863,K1a8
I1072,NAT9,32.65,35.067,M,Natufian,Israel_Natufian,"This study (S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1)",half,1240K.capture,11840-9760 BCE,Raqefet Cave,Israel,0.526,442605,N1b
I1707,AG83_5,31.988,35.976,M,Levant_N,PPNB,This study (S1707.E1.L1),half,1240K.capture,"7722-7541 calBCE (8590±50 BP, Poz-81097)",'Ain Ghazal,Jordan,0.142,152234,R0a
I1730,AG_84_3083_116,31.988,35.976,M,Levant_BA,Jordan_EBA,This study (S1730.E1.L1),half,1240K.capture,"2489-2299 calBCE (3925±31 BP, OxA-32775)",'Ain Ghazal,Jordan,1.673,709491,R0a1a
I1699,AG84_5,31.988,35.976,F,Levant_N,PPNC,This study (S1699.E1.L1),half,1240K.capture,6800-6700 BCE,'Ain Ghazal,Jordan,0.309,303496,R0a2
I1704,AG89_1,31.988,35.976,F,Levant_N,PPNB,This study (S1704.E1.L1),half,1240K.capture,"7446-7058 calBCE (8190±60 BP, Poz-81095)",'Ain Ghazal,Jordan,0.164,172819,T1a
I1656,Kat16,40.377222,43.938333,F,Armenia_MLBA,Armenia_MBA,This study (S1656.E1.L1),half,1240K.capture,"1501-1402 calBCE (3168±27 BP, OxA-31674)",Katnaghbiur Kurgan 1,Armenia,3.507,861643,T1a1'3
I1710,AG83_6,31.988,35.976,M,Levant_N,PPNB,This study (S1710.E1.L1),half,1240K.capture,"7733-7526 calBCE (8580±60 BP, Poz-81098)",'Ain Ghazal,Jordan,0.117,129614,T1a2
I1955,GD1150,34.45,48.116,F,Iran_recent,Ganj_Dareh_Iran_recent,This study (S1955.E1.L1),half,1240K.capture,"1430-1485 calCE (430±30 BP, Beta-432801)",Ganj Dareh,Iran,4.231,812079,U1a1
I1670,SG11,34.5,47.96,F,Iran_ChL,Iran_Chalcolithic,"This study (S1670.E1.L2,S1670.E1.L3,S1670.E1.L1)",half,1240K.capture,"4839-4617 calBCE (5870±40 BP, Poz-81107)",Seh Gabi,Iran,0.132,147283,U3a'c
I1658,TA3/R8,40.382958,43.873663,F,Armenia_EBA,Armenia_EBA,This study (S1658.E1.L1),half,1240K.capture,"3347-3092 calBCE (4492±29 BP, OxA-31874)",Talin,Armenia,3.408,845938,U3a2
I1409,ARE20,39.73,45.2,F,Armenia_ChL,Armenia_Chalcolithic,This study (S1409.E1.L1),half,1240K.capture,"4229-3985 calBCE (5260±30 BP, Poz-81110)",Areni1,Armenia,0.083,95691,U4a
I1665,SG19,34.5,47.96,F,Iran_ChL,Iran_Chalcolithic,This study (S1665.E1.L1),half,1240K.capture,"3956-3796 calBCE (5070±30 BP, Poz-81106)",Seh Gabi,Iran,1.477,758386,U7a
I1290,GD13A,34.45,48.116,F,Iran_N,Ganj_Dareh_Iran_Neolithic,"This study (S1628.E1.L1,S1628.E1.L3,S1628.E1.L2,S1290.E1.L1,S1290.E1.L2,S1290.E1.L3)",half,1240K.capture,"8179-7613 calBCE (8780±50 BP, Poz-81100)",Ganj Dareh,Iran,2.098,870535,X2
I1635,KA1/12,40.65,45.1167,M,Armenia_EBA,Armenia_EBA,This study (S1635.E1.L1),half,1240K.capture,"2619-2465 calBCE (4005±35 BP, Poz-81102)",Kalavan,Armenia,2.877,841677,X2f
I1706,AG98_2,31.988,35.976,F,Levant_BA,Jordan_EBA,This study (S1706.E1.L1),half,1240K.capture,2490-2300 BCE,'Ain Ghazal,Jordan,3.749,718277,X2m
